Name of Member,Party Name,Constituency,State,UT,Category,Woman,First time,Age,DOB
"Gopal Jee Thakur, Shri",Bharatiya Janata Party,Darbhanga,Bihar,0,General,0,1,51,10/15/1969
"Goswami, Shri Dulal Chandra",Janata Dal (United),Katihar,Bihar,0,General,0,1,53,8/10/1967
"Jaiswal, Dr. Sanjay",Bharatiya Janata Party,Paschim Champaran,Bihar,0,General,0,0,55,11/29/1965
"Jawed, Dr. Mohammad",Indian National Congress,Kishanganj,Bihar,0,General,0,1,57,6/17/1963
"Kaiser, Choudhary Mehboob Ali",Lok Jan Shakti Party,Khagaria,Bihar,0,General,0,0,63,5/13/1958
"Kamait, Shri Dileshwar",Janata Dal (United),Supaul,Bihar,0,General,0,1,75,2/2/1946
"Kumar, Shri Kaushalendra",Janata Dal (United),Nalanda,Bihar,0,General,0,0,62,1/13/1959
"Kumar, Shri Santosh",Janata Dal (United),Purnia,Bihar,0,General,0,0,45,5/2/1976
"Kumar, Shri Sunil",Janata Dal (United),Valmiki Nagar,Bihar,0,General,0,1,36,7/7/1984
"Kumar, Shri Vijay",Janata Dal (United),Gaya,Bihar,0,SC,0,1,51,4/1/1970
"Mandal, Shri Ajay Kumar",Janata Dal (United),Bhagalpur,Bihar,0,General,0,1,50,2/2/1971
"Mandal, Shri Ramprit",Janata Dal (United),Jhanjharpur,Bihar,0,General,0,1,65,1/1/1956
"Nishad, Shri Ajay",Bharatiya Janata Party,Muzaffarpur,Bihar,0,General,0,0,55,2/10/1966
"Paras, Shri Pashupati Kumar",Lok Jan Shakti Party,Hajipur,Bihar,0,SC,0,1,68,12/7/1952
"Paswan, Shri Chhedi",Bharatiya Janata Party,Sasaram,Bihar,0,SC,0,0,65,4/2/1956
"Paswan, Shri Chirag",Lok Jan Shakti Party,Jamui,Bihar,0,SC,0,0,38,10/31/1982
"Prasad, Shri Chandeshwar",Janata Dal (United),Jahanabad,Bihar,0,General,0,1,69,7/13/1951
"Prasad, Shri Ravi Shankar",Bharatiya Janata Party,Patna Sahib,Bihar,0,General,0,1,66,8/30/1954
"Prince Raj, Shri",Lok Jan Shakti Party,Samastipur,Bihar,0,SC,0,1,31,7/7/1989
"Rai, Shri Nityanand",Bharatiya Janata Party,Ujiarpur,Bihar,0,General,0,0,55,1/1/1966
"Rudy, Shri Rajiv Pratap",Bharatiya Janata Party,Saran,Bihar,0,General,0,0,59,3/30/1962
"Sigriwal, Shri Janardan Singh",Bharatiya Janata Party,Maharajganj,Bihar,0,General,0,0,62,2/1/1959
"Singh, Shri Chandan",Lok Jan Shakti Party,Nawada,Bihar,0,General,0,1,35,12/2/1985
"Singh, Shri Giriraj",Bharatiya Janata Party,Begusarai,Bihar,0,General,0,0,68,8/9/1952
"Singh, Smt. Kavita",Janata Dal (United),Siwan,Bihar,0,General,1,1,35,10/2/1985
"Singh, Shri Mahabali",Janata Dal (United),Karakat,Bihar,0,General,0,0,66,4/20/1955
"Singh, Shri Pradeep Kumar",Bharatiya Janata Party,Araria,Bihar,0,General,0,0,56,12/29/1964
"Singh, Shri Radha Mohan",Bharatiya Janata Party,Purvi Champaran,Bihar,0,General,0,0,72,1/9/1949
"Singh, Shri Raj Kumar",Bharatiya Janata Party,Arrah,Bihar,0,General,0,0,68,12/20/1952
"Singh, Shri Rajiv Ranjan (Lalan)",Janata Dal (United),Munger,Bihar,0,General,0,0,66,1/24/1955
"Singh, Shri Sushil Kumar",Bharatiya Janata Party,Aurangabad,Bihar,0,General,0,0,57,6/27/1963
"Suman, Dr. Alok Kumar",Janata Dal (United),Gopalganj,Bihar,0,SC,0,1,64,4/3/1957
"Sunil Kumar Pintu, Shri",Janata Dal (United),Sitamarhi,Bihar,0,General,0,1,59,8/22/1961
"Yadav, Shri Ashok Kumar",Bharatiya Janata Party,Madhubani,Bihar,0,General,0,1,50,6/21/1970
"Yadav, Shri Dinesh Chandra",Janata Dal (United),Madhepura,Bihar,0,General,0,0,70,1/7/1951
"Yadav, Shri Giridhari",Janata Dal (United),Banka,Bihar,0,General,0,0,60,4/14/1961
"Yadav, Shri Ram Kripal",Bharatiya Janata Party,Pataliputra,Bihar,0,General,0,0,63,12/11/1957
"Kher, Smt. Kirron",Bharatiya Janata Party,Chandigarh,Chandigarh,1,General,1,0,69,6/14/1952
"Ajgalley, Shri Guharam",Bharatiya Janata Party,Janjgir-Champa,Chhattisgarh,0,SC,0,0,54,4/30/1967
"Baghel, Shri Vijay",Bharatiya Janata Party,Durg,Chhattisgarh,0,General,0,1,61,8/15/1959
"Baij, Shri Deepak",Indian National Congress,Bastar,Chhattisgarh,0,ST,0,1,39,7/14/1981
"Mahant, Smt. Jyotsna Charandas",Indian National Congress,Korba,Chhattisgarh,0,General,1,1,67,11/18/1953
"Mandavi, Shri Mohan",Bharatiya Janata Party,Kanker,Chhattisgarh,0,ST,0,1,64,1/5/1957
"Pandey, Shri Santosh",Bharatiya Janata Party,Rajnandgaon,Chhattisgarh,0,General,0,1,53,12/31/1967
"Sahu, Shri Chunni Lal",Bharatiya Janata Party,Mahasamund,Chhattisgarh,0,General,0,1,52,8/22/1968
"Sai, Smt. Gomati",Bharatiya Janata Party,Raigarh,Chhattisgarh,0,ST,1,1,43,5/25/1978
"Sao, Shri Arun",Bharatiya Janata Party,Bilaspur,Chhattisgarh,0,General,0,1,52,11/25/1968
"Singh, Smt. Renuka",Bharatiya Janata Party,Surguja,Chhattisgarh,0,ST,1,1,57,5/1/1964
"Soni, Shri Sunil Kumar",Bharatiya Janata Party,Raipur,Chhattisgarh,0,General,0,1,59,11/28/1961
"Patel, Shri Lalubhai Babubhai",Bharatiya Janata Party,Daman and Diu,Daman and Diu,1,General,0,0,65,8/31/1955
"Naik, Shri Shripad Yesso",Bharatiya Janata Party,North Goa,Goa,0,General,0,0,69,4/10/1952
"Sardinha, Shri Francisco Cosme",Indian National Congress,South Goa,Goa,0,General,0,0,75,4/15/1946
"Bhabhor, Shri Jaswantsinh Sumanbhai",Bharatiya Janata Party,Dahod,Gujarat,0,ST,0,0,54,8/22/1966
"Bhatt, Smt. Ranjanben Dhananjay",Bharatiya Janata Party,Vadodara,Gujarat,0,General,1,0,58,10/8/1962
"Chauhan, Shri Devusinh Jesingbhai",Bharatiya Janata Party,Kheda,Gujarat,0,General,0,0,56,10/29/1964
"Chavda, Shri Vinod",Bharatiya Janata Party,Kachchh,Gujarat,0,SC,0,0,42,6/3/1979
"Chudasama, Shri Rajeshbhai Naranbhai",Bharatiya Janata Party,Junagadh,Gujarat,0,General,0,0,38,10/4/1982
"Dabhi, Shri Bharatsinhji Shankarji",Bharatiya Janata Party,Patan,Gujarat,0,General,0,1,66,3/18/1955
"Dhaduk, Shri Rameshbhai Lavjibhai",Bharatiya Janata Party,Porbandar,Gujarat,0,General,0,1,59,5/9/1962
"Jardosh, Smt. Darshana Vikram",Bharatiya Janata Party,Surat,Gujarat,0,General,1,0,60,1/21/1961
"Kachhadiya, Shri Naranbhai Bhikhabhai",Bharatiya Janata Party,Amreli,Gujarat,0,General,0,0,66,4/25/1955
"Kundariya, Shri Mohanbhai Kalyanji",Bharatiya Janata Party,Rajkot,Gujarat,0,General,0,0,70,6/9/1951
"Maadam, Smt. Poonamben Hematbhai",Bharatiya Janata Party,Jamnagar,Gujarat,0,General,1,0,46,9/23/1974
"Munjpara, Dr. Mahendrabhai Kalubhai",Bharatiya Janata Party,Surendranagar,Gujarat,0,General,0,1,52,9/21/1968
"Patel, Shri Hasmukhbhai Somabhai",Bharatiya Janata Party,Ahmedabad East,Gujarat,0,General,0,1,60,11/11/1960
"Patel, Dr. K. C.",Bharatiya Janata Party,Valsad,Gujarat,0,ST,0,0,71,10/1/1949
"Patel, Shri Mitesh Rameshbhai",Bharatiya Janata Party,Anand,Gujarat,0,General,0,1,55,8/27/1965
"Patel, Shri Parbatbhai Savabhai",Bharatiya Janata Party,Banaskantha,Gujarat,0,General,0,1,73,4/9/1948
"Patel, Smt. Sharda Anilkumar",Bharatiya Janata Party,Mahesana,Gujarat,0,General,1,1,73,3/21/1948
"Patil, Shri C. R.",Bharatiya Janata Party,Navsari,Gujarat,0,General,0,0,66,3/16/1955
"Rathod, Shri Dipsinh Shankarsinh",Bharatiya Janata Party,Sabarkantha,Gujarat,0,General,0,0,69,1/6/1952
"Rathod, Shri Ratansinh Magansinh",Bharatiya Janata Party,Panchmahal,Gujarat,0,General,0,1,61,1/2/1960
"Rathva, Smt. Gitaben Vajesingbhai",Bharatiya Janata Party,Chhota Udaipur,Gujarat,0,ST,1,1,49,3/6/1972
"Shah, Shri Amit Anil Chandra",Bharatiya Janata Party,Gandhinagar,Gujarat,0,General,0,1,56,10/22/1964
"Shiyal, Dr. Bharatiben Dhirubhai",Bharatiya Janata Party,Bhavnagar,Gujarat,0,General,1,0,57,3/23/1964
"Solanki, Dr. (Prof.) Kirit Premjibhai",Bharatiya Janata Party,Ahmedabad West,Gujarat,0,SC,0,0,70,6/17/1950
"Vasava, Shri Mansukhbhai Dhanjibhai",Bharatiya Janata Party,Bharuch,Gujarat,0,General,0,0,64,1/6/1957
"Vasava, Shri Prabhubhai Nagarbhai",Bharatiya Janata Party,Bardoli,Gujarat,0,ST,0,0,51,1/3/1970
"Bhatia, Shri Sanjay",Bharatiya Janata Party,Karnal,Haryana,0,General,0,1,53,7/29/1967
"Dharambir Singh, Shri",Bharatiya Janata Party,Bhiwani-Mahendragarh,Haryana,0,General,0,0,66,5/3/1955
"Duggal, Smt. Sunita",Bharatiya Janata Party,Sirsa,Haryana,0,SC,1,1,53,4/29/1968
"Gurjar, Shri Krishan Pal",Bharatiya Janata Party,Faridabad,Haryana,0,General,0,0,64,4/2/1957
"Kataria, Shri Rattan Lal",Bharatiya Janata Party,Ambala,Haryana,0,SC,0,0,69,12/19/1951
"Kaushik, Shri Ramesh Chander",Bharatiya Janata Party,Sonipat,Haryana,0,General,0,0,65,3/12/1956
"Rao, Inderjit Singh",Bharatiya Janata Party,Gurgaon,Haryana,0,General,0,0,70,11/2/1950
"Sharma, Dr. Arvind Kumar",Bharatiya Janata Party,Rohtak,Haryana,0,General,0,0,58,11/25/1962
"Singh, Shri Brijendra",Bharatiya Janata Party,Hisar,Haryana,0,General,0,1,49,5/13/1972
"Singh, Shri Nayab",Bharatiya Janata Party,Kurukshetra,Haryana,0,General,0,1,51,1/25/1970
"Kapoor, Shri Kishan",Bharatiya Janata Party,Kangra,Himachal Pradesh,0,General,0,1,69,6/25/1951
"Kashyap, Shri Suresh Kumar",Bharatiya Janata Party,Shimla,Himachal Pradesh,0,SC,0,1,49,7/23/1971
"Thakur, Shri Anurag Singh",Bharatiya Janata Party,Hamirpur,Himachal Pradesh,0,General,0,0,46,10/24/1974
"Abdullah, Dr. Farooq",Jammu and Kashmir National Conference,Srinagar,Jammu and Kashmir,0,General,0,0,83,10/21/1937
"Lone, Shri Mohammad Akbar",Jammu and Kashmir National Conference,Baramulla,Jammu and Kashmir,0,General,0,1,74,2/17/1947
"Masoodi, Shri Hasnain",Jammu and Kashmir National Conference,Anantnag,Jammu and Kashmir,0,General,0,1,67,2/1/1954
"Namgyal, Shri Jamyang Tsering",Bharatiya Janata Party,Ladakh,Jammu and Kashmir,0,General,0,1,36,4/8/1985
"Sharma, Shri Jugal Kishore",Bharatiya Janata Party,Jammu,Jammu and Kashmir,0,General,0,0,59,5/12/1962
"Singh, Dr. Jitendra",Bharatiya Janata Party,Udhampur,Jammu and Kashmir,0,General,0,0,65,6/11/1956
"Annpurna Devi, Smt.,",Bharatiya Janata Party,Kodarma,Jharkhand,0,General,1,1,51,2/2/1970
"Bhagat, Shri Sudarshan",Bharatiya Janata Party,Lohardaga,Jharkhand,0,ST,0,0,51,10/20/1969
"Choudhary, Shri Chandra Prakash",AJSU Party,Giridih,Jharkhand,0,General,0,1,53,8/18/1967
"Dubey, Dr. Nishikant",Bharatiya Janata Party,Godda,Jharkhand,0,General,0,0,52,1/28/1969
"Hansdak, Shri Vijay Kumar",Jharkhand Mukti Morcha,Rajmahal,Jharkhand,0,ST,0,0,38,10/27/1982
"Kora, Smt. Geeta",Indian National Congress,Singhbhum,Jharkhand,0,ST,1,1,37,9/26/1983
"Mahato, Shri Bidyut Baran",Bharatiya Janata Party,Jamshedpur,Jharkhand,0,General,0,0,58,2/15/1963
"Munda, Shri Arjun",Bharatiya Janata Party,Khunti,Jharkhand,0,ST,0,0,53,3/5/1968
"Ram, Shri Vishnu Dayal",Bharatiya Janata Party,Palamu,Jharkhand,0,SC,0,0,69,7/23/1951
"Seth, Shri Sanjay",Bharatiya Janata Party,Ranchi,Jharkhand,0,General,0,1,61,8/25/1959
"Singh, Shri Pashupati Nath",Bharatiya Janata Party,Dhanbad,Jharkhand,0,General,0,0,71,11/7/1949
"Singh, Shri Sunil Kumar",Bharatiya Janata Party,Chatra,Jharkhand,0,General,0,0,58,10/1/1962
"Sinha, Shri Jayant",Bharatiya Janata Party,Hazaribagh,Jharkhand,0,General,0,0,58,4/21/1963
"Soren, Shri Sunil",Bharatiya Janata Party,Dumka,Jharkhand,0,ST,0,1,49,6/4/1972
"Abbaiah, Shri Narayana Swamy",Bharatiya Janata Party,Chitradurga,Karnataka,0,SC,0,1,64,5/16/1957
"Ambareesh, Smt. Sumalatha",Independent,Mandya,Karnataka,0,General,1,1,57,8/27/1963
"Angadi, Smt. Mangal Suresh",Bharatiya Janata Party,Belgaum,Karnataka,0,General,1,1,,
"B.N. , Shri Bache Gowda",Bharatiya Janata Party,Chikkballapur,Karnataka,0,General,0,1,79,1/10/1942
"Basavaraj, Shri Gangasandra Siddappa",Bharatiya Janata Party,Tumkur,Karnataka,0,General,0,0,80,4/5/1941
"Gaddigoudar, Shri Parvatagouda Chandanagouda",Bharatiya Janata Party,Bagalkot,Karnataka,0,General,0,0,70,1/6/1951
"Gowda, Shri Devaragunda Venkappa Sadananda",Bharatiya Janata Party,Bangalore North,Karnataka,0,General,0,0,68,3/18/1953
"Hegde, Shri Anantkumar",Bharatiya Janata Party,Uttara Kannada,Karnataka,0,General,0,0,53,5/20/1968
"Jadhav, Dr. Umesh G.",Bharatiya Janata Party,Gulbarga,Karnataka,0,SC,0,1,62,3/24/1959
"Jigajinagi, Shri Ramesh Chandappa",Bharatiya Janata Party,Bijapur,Karnataka,0,SC,0,0,68,6/28/1952
"Jolle, Shri Annasaheb Shankar",Bharatiya Janata Party,Chikkodi,Karnataka,0,General,0,1,57,8/7/1963
"Joshi, Shri Pralhad Venkatesh",Bharatiya Janata Party,Dharwad,Karnataka,0,General,0,0,58,11/27/1962
"Karadi, Shri Sanganna Amarappa",Bharatiya Janata Party,Koppal,Karnataka,0,General,0,0,70,8/5/1950
"Karandlaje, Km. Shobha",Bharatiya Janata Party,Udupi Chikmagalur,Karnataka,0,General,1,0,54,10/23/1966
"Kateel, Shri Nalin Kumar",Bharatiya Janata Party,Dakshina Kannada,Karnataka,0,General,0,0,54,7/12/1966
"Khuba, Shri Bhagwanth",Bharatiya Janata Party,Bidar,Karnataka,0,General,0,0,54,1/6/1967
"Mohan, Shri P. C.",Bharatiya Janata Party,Bangalore Central,Karnataka,0,General,0,0,57,7/24/1963
"Muniswamy, Shri S.",Bharatiya Janata Party,Kolar,Karnataka,0,SC,0,1,46,4/16/1975
"Naik, Shri Raja Amareshwara",Bharatiya Janata Party,Raichur,Karnataka,0,ST,0,1,63,6/16/1957
"Prasad, Shri V. Sreenivasa",Bharatiya Janata Party,Chamrajanagar,Karnataka,0,SC,0,0,74,6/8/1947
"Raghavendra, Shri B. Y.",Bharatiya Janata Party,Shimoga,Karnataka,0,General,0,0,47,8/16/1973
"Revanna, Shri Prajwal",Janata Dal (Secular),Hassan,Karnataka,0,General,0,1,31,5/8/1990
"Siddeshwara, Shri Gowdar Mallikarjunappa",Bharatiya Janata Party,Davanagere,Karnataka,0,General,0,0,69,5/7/1952
"Simha, Shri Prathap",Bharatiya Janata Party,Mysore,Karnataka,0,General,0,0,44,6/21/1976
"Suresh, Shri Doddaalahalli Kempegowda",Indian National Congress,Bangalore Rural,Karnataka,0,General,0,0,54,8/4/1966
"Surya, Shri L.S. Tejasvi",Bharatiya Janata Party,Bangalore South,Karnataka,0,General,0,1,30,11/16/1990
"Udasi, Shri Shivkumar Chanabasappa",Bharatiya Janata Party,Haveri,Karnataka,0,General,0,0,54,5/20/1967
"Y, Shri Devendrappa",Bharatiya Janata Party,Bellary,Karnataka,0,ST,0,1,69,7/5/1951
Adv. A. M. Ariff,Communist Party of India (Marxist),Alappuzha,Kerala,0,General,0,1,57,5/20/1964
"Antony, Shri Anto",Indian National Congress,Pathanamthitta,Kerala,0,General,0,0,64,1/5/1957
"Basheer, Shri E. T. Mohammed",Indian Union Muslim League,Ponnani,Kerala,0,General,0,0,75,1/7/1946
"Benny, Shri Behanan",Indian National Congress,Chalakudy,Kerala,0,General,0,1,68,8/22/1952
"Chazhikadan, Shri Thomas",Kerala Congress (M),Kottayam,Kerala,0,General,0,1,68,9/25/1952
"Eden, Shri Hibi",Indian National Congress,Ernakulam,Kerala,0,General,0,1,38,4/19/1983
"Gandhi, Shri Rahul",Indian National Congress,Wayanad,Kerala,0,General,0,0,50,6/19/1970
"Haridas, Ms. Ramya",Indian National Congress,Alathur,Kerala,0,SC,1,1,34,11/1/1986
"Kodikunnil, Shri Suresh",Indian National Congress,Mavelikkara,Kerala,0,SC,0,0,59,4/6/1962
"Kuriakose, Adv. Dean",Indian National Congress,Idukki,Kerala,0,General,0,1,39,6/27/1981
"Muraleedharan, Shri K.",Indian National Congress,Vadakara,Kerala,0,General,0,0,64,5/14/1957
"Prakash, Adv. Adoor",Indian National Congress,Attingal,Kerala,0,General,0,1,66,5/24/1955
"Prathapan, Shri T.N.",Indian National Congress,Thrissur,Kerala,0,General,0,1,60,12/5/1960
"Premachandran, Shri N.K.",Revolutionary Socialist Party,Kollam,Kerala,0,General,0,0,61,5/25/1960
"Raghavan, Shri M. K.",Indian National Congress,Kozhikode,Kerala,0,General,0,0,69,4/21/1952
"Samadani, Shri Abdussamad",Indian Union Muslim League,Malappuram,Kerala,0,General,0,1,,
"Sudhakaran, Shri Kumbakudi",Indian National Congress,Kannur,Kerala,0,General,0,0,72,11/5/1948
"Tharoor, Dr. Shashi",Indian National Congress,Thiruvananthapuram,Kerala,0,General,0,0,64,9/3/1956
"Unnithan, Shri Rajmohan",Indian National Congress,Kasaragod,Kerala,0,General,0,1,67,10/6/1953
"V.K. Sreekandan, Shri",Indian National Congress,Palakkad,Kerala,0,General,0,1,51,2/27/1970
"Mohammed, Shri Faizal P.P.",Nationalist Congress Party,Lakshadweep,Lakshadweep,1,ST,0,0,46,5/28/1975
"Bhargava, Shri Ramakant",Bharatiya Janata Party,Vidisha,Madhya Pradesh,0,General,0,1,68,2/10/1953
"Bisen, Dr. Dhal Singh",Bharatiya Janata Party,Balaghat,Madhya Pradesh,0,General,0,1,69,5/14/1952
"Damor, Shri Guman Singh",Bharatiya Janata Party,Ratlam,Madhya Pradesh,0,ST,0,1,64,4/4/1957
"Darbar, Shri Chhatar Singh",Bharatiya Janata Party,Dhar,Madhya Pradesh,0,ST,0,0,66,8/1/1954
"Firojiya, Shri Anil",Bharatiya Janata Party,Ujjain,Madhya Pradesh,0,SC,0,1,49,7/14/1971
"Gupta, Shri Sudheer",Bharatiya Janata Party,Mandsour,Madhya Pradesh,0,General,0,0,62,5/19/1959
"Kulaste, Shri Faggan Singh",Bharatiya Janata Party,Mandla,Madhya Pradesh,0,ST,0,0,62,5/18/1959
"Kumar, Dr. Virendra",Bharatiya Janata Party,Tikamgarh,Madhya Pradesh,0,SC,0,0,67,2/27/1954
"Lalwani, Shri Shankar",Bharatiya Janata Party,Indore,Madhya Pradesh,0,General,0,1,59,10/16/1961
"Mishra, Shri Janardan",Bharatiya Janata Party,Rewa,Madhya Pradesh,0,General,0,0,65,1/5/1956
"Nagar, Shri Rodmal",Bharatiya Janata Party,Rajgarh,Madhya Pradesh,0,General,0,0,60,12/15/1960
"Nath, Shri Nakul K.",Indian National Congress,Chhindwara,Madhya Pradesh,0,General,0,1,46,6/21/1974
"Patel, Shri Gajendra Singh",Bharatiya Janata Party,Khargone,Madhya Pradesh,0,ST,0,1,46,2/16/1975
"Patel, Shri Prahlad Singh",Bharatiya Janata Party,Damoh,Madhya Pradesh,0,General,0,0,60,6/28/1960
"Pathak, Smt. Riti",Bharatiya Janata Party,Sidhi,Madhya Pradesh,0,General,1,0,44,1/7/1977
"Ray, Smt. Sandhya",Bharatiya Janata Party,Bhind,Madhya Pradesh,0,SC,1,1,47,4/1/1974
"Sharma, Shri Vishnu Datt",Bharatiya Janata Party,Khajuraho,Madhya Pradesh,0,General,0,1,51,1/10/1970
"Shejwalkar, Shri Vivek Narayan",Bharatiya Janata Party,Gwalior,Madhya Pradesh,0,General,0,1,74,6/13/1947
"Singh, Shri Ganesh",Bharatiya Janata Party,Satna,Madhya Pradesh,0,General,0,0,59,2/7/1962
"Singh, Smt. Himadri",Bharatiya Janata Party,Shahdol,Madhya Pradesh,0,ST,1,1,32,9/4/1988
"Singh, Shri Rajbahadur",Bharatiya Janata Party,Sagar,Madhya Pradesh,0,General,0,1,53,12/29/1967
"Singh, Shri Rakesh",Bharatiya Janata Party,Jabalpur,Madhya Pradesh,0,General,0,0,59,4/6/1962
"Singh, Shri Uday Pratap",Bharatiya Janata Party,Hoshangabad,Madhya Pradesh,0,General,0,0,56,9/6/1964
"Solanky, Shri Mahendra Singh",Bharatiya Janata Party,Dewas,Madhya Pradesh,0,SC,0,1,36,11/4/1984
"Thakur, Sadhvi Pragya Singh",Bharatiya Janata Party,Bhopal,Madhya Pradesh,0,General,1,1,51,2/2/1970
"Tomar, Shri Narendra Singh",Bharatiya Janata Party,Morena,Madhya Pradesh,0,General,0,0,63,12/6/1957
"Uikey, Shri Durga Das",Bharatiya Janata Party,Betul,Madhya Pradesh,0,ST,0,1,57,10/29/1963
